家居 	 8 款 家居 色彩 搭配   温暖 整个 冬季 ( 组图 ) 独特 的 色彩 、 舒适 的 效果 与 和谐 的 生活 并 不 冲突 ， 家居 色彩 配色 要 遵循 哪些 原则 、 怎样 的 色彩 搭配 能 取得 最好 的 效果 、 如何 运用 家居 色彩 让 生活 更 舒适 ， 快 来看 一 看吧 。 【 米 白色 + 红色 】 以 乳白色 和 米黄色 为 代表 ， 稍暗 的 红色 与 米 白色 搭配 ， 在 统一 的 鲜亮 色调 中 加入 素雅 的 色调 ， 显得 格调高雅 、 富有 现代感 ， 安宁 中 透露 华丽 。 
 家居 	 不可 不知 的 8 种 危害 全家 的 恐怖 浴室 风水 ( 组图 )         现代人 家居 装修 之 时 ， 已经 越来越 重视 卫浴 功能区 的 装饰 与 布局 ， 卫浴间 也 从 早期 的 昏暗 潮湿 初步 迈向 宽敞明亮 ， 人们 对 卫浴 的 需求 也 开始 向 休闲 与 舒适 转变 。 但是 在 给 卫浴间 乔装打扮 的 同时 ， 一定 不能 忽视 风水 禁忌 的 存在 。 卫浴间 作为 家中 一个 最 私密 的 所在 ， 在 风水学 上 属于 一个 眼位 ， 地位 极为重要 ， 如果 浴室 的 风水 出 了 问题 ， 可能 为 家庭 带来 无法 预知 的 危害 。 一 、 生 疔 长疮 的 马桶 根据 中国 传统 家相学 的 原理 ， 马桶 的 方向 不可 和 套 宅 的 方向 一致 ， 比如 套宅 大门 的 方向 朝南 ， 那么 当人 坐在 马桶 上 的 时候 ， 如果 面 也 向着 南方 ， 就是 犯 了 马桶 与 套宅 同向 的 忌讳 。 据说 易 导致 家 人生 疔 长疮 ， 当然 我 在 实际 勘测 中 没有 仔细 调查 住户 生 疔 长疮 的 情况 ， 但 还是 能免则免 吧 。 
 家居 	 不可或缺 的 单 色调 装饰 ( 组图 ) 守旧 品位 的 崭新 呈现 没有 任何 其它 色彩 参与 的 单 色调 设计 为 广大 设计者 提供 了 自由 试验 的 舞台 。 在 这个 舞台 上 ， 无论 闪亮 的 色彩 或者 无光 的 设计 ， 无论 古典 或者 现代 ， 任何 想象 都 可以 尽情 展开 。 
 家居 	 不同 的 人 装修 出来 的 风格 各不相同 ( 图 ) 同样 的 房子 ， 不同 的 人 装修 出来 的 风格 各不相同 ， 这 跟 每个 人 内心 底里 的 情结 密不可分 。   
 家居 	 不同 的 区域 空间 适用 不同 的 色系 ( 图 ) 合理 的 应用 色彩 ， 会 让 家居环境 产生 较 高 的 审美 价值 ， 还 能 有益 身心健康 。 色彩 搭配 是否 合理 直接 关系 到 居室 装饰 的 成败 。 缤纷 靓丽 的 色彩 ， 可以 让 整个 家 完全 的 活跃 起来 ， 倍感 温馨 享受 。 
 家居 	 不同 空间 的 天花 设计 造型 木梁 ( 图 ) 中国 流 铺天盖地 而 来 ， 老古董 被 赋予 全新 价值 ， old   is   fashion 成为 新 主流 。 
 家居 	 不愿花 时间 去 画 一张 严谨 的 设计图 ( 图 ) 流云 与 海芳芳 的 感性 让 她 不愿花 时间 去 画 一张 严谨 的 设计图 ， 将 脑海中 的 画面 直接 在 空屋 中 创作 出来 才 是 她 喜欢 的 事 。 不过 ， 芳芳 说 ： “ 幸好 让 我 做 设计 的 人 都 很 包容 ， 很 信任 我 ， 比如 这次 ， 我 和 大河 说 咱们 可不可以 做 一个 大体 量 的 壁炉 ， 他 就 毫不犹豫 地说 ‘ 做 吧 ’ ， 没有 磕磕绊绊 的 交流 ， 结果 往往 出奇 的 好 。 ” 视线 之内 ， 这个 大体 量 的 壁炉 造型 拔高 了 空间 高度 ， 却 又 在 立体 花蔓 缠绵 中 温柔 了 许多 ， 视线 之外 ， 如 男人 与 女人 相依 的 关系 。 
 家居 	 不是 所有 的 镜子 都 得 装裱 ( 图 ) 不是 所有 的 镜子 都 得 装裱 切割成 多边形 的 镜子 不 需要 经过 复杂 的 装裱 ， 只要 按照 你 喜欢 的 形状 排列 、 悬挂 在 墙面 上 ， 就 可以 与 相框 搭配 组合 出 十分 特别 的 墙面 风光 。 
 家居 	 不 显得 庸俗 也 不 显得 曲高和寡 的 方式 ( 图 ) 这些 年 ， 做 纯粹 风格 的 少 了 。 也许 是 当今社会 变化 太快 吧 ， 每天 我们 周围 都 有 新 的 资讯 ， 新 的 流行 ， 如果 真要 去 追赶 ， 那 不 知道 又 会 增加 多少 人 感叹 生活 太累 。 所以 ， 人们 找寻 了 个 既 不 显得 庸俗 也 不 显得 曲高和寡 的 方式 — — 混 搭 。 但 ， 仍 有 那么 一些 有 责任感 的 设计师 在 不断 探索 着 新 的 艺术 语言 。 偶然 ， 看到 了 下面 这个 设计 大胆 的 泰国 风情 的 设计 ， 我 深深地 被 她 那 瑰丽 的 色彩 和 民族 气息 浓厚 的 设计所 震撼 。 
 家居 	 不要 用 单一 的 金色 装饰 房间 ( 图 ) 6 . 不要 用 单一 的 金色 装饰 房间 金色 熠熠生辉 ， 显现 了 大胆 和 张扬 的 个性 ， 在 简洁 的 白色 衬映 下 ， 视觉 会 很 干净 。 但 金色 是 最 容易 反射 光线 的 颜色 之一 ， 金光闪闪 的 环境 对 人 的 视线 伤害 最大 ， 容易 使人 神经 高度 紧张 ， 不易 放松 。 建议 避免 大面积 使用 单一 的 金色 装饰 房间 ， 可以 作为 壁纸 、 软帘上 的 装饰 色 ； 在 卫生间 的 墙面 上 ， 可以 使用 金色 的 马赛克 搭配 清冷 的 白色 或 不锈钢 。 为了 让 居室 的 环境 更 有 亲和力 ， 不妨 在 角落里 摆放 些 绿色 的 小 盆栽 ， 使 房间 里 充满 情趣 。 7 . 橙色 会 影响 睡眠 质量 橘红色 又 或是 橙色 ， 是 生气勃勃 、 充满活力 的 颜色 ， 是 收获 的 季节 里 特有 的 色彩 。 把 它 用 在 卧室 则 不 容易 使人 安静下来 ， 不利于 睡眠 。 但 将 橙色 用 在 客厅 则 会 营造 欢快 的 气氛 。 同时 ， 橙色 有 诱发 食欲 的 作用 ， 所以 也 是 装点 餐厅 的 理想 色彩 。 将 橙色 和 巧克力 色 或 米黄色 搭配 在 一起 也 很 舒畅 ， 巧妙 的 色彩 组合 是 追求 时尚 的 年轻人 的 大胆 尝试 。 8 . 不要 在 书房 用 黄色 黄色 ， 可爱 而 成熟 ， 文雅 而 自然 ， 使得 这个 色系 正在 趋向 流行 。 水果 黄带 着 温柔 的 特性 ； 牛油 黄 散发 着 原动力 ； 金黄色 带来 温暖 。 黄色 还 对 健康 者 具有 稳定情绪 、 增进 食欲 的 作用 。 但是 长时间 接触 高纯度 黄色 ， 会 让 人 有 一种 慵懒 的 感觉 ， 所以 建议 在 客室 与 餐厅 适量 点缀 一些 就 好 ， 黄色 最 不 适宜 用 在 书房 ， 它会 减慢 思考 的 速度 。 6 . 不要 用 单一 的 金色 装饰 房间 金色 熠熠生辉 ， 显现 了 大胆 和 张扬 的 个性 ， 在 简洁 的 白色 衬映 下 ， 视觉 会 很 干净 。 但 金色 是 最 容易 反射 光线 的 颜色 之一 ， 金光闪闪 的 环境 对 人 的 视线 伤害 最大 ， 容易 使人 神经 高度 紧张 ， 不易 放松 。 建议 避免 大面积 使用 单一 的 金色 装饰 房间 ， 可以 作为 壁纸 、 软帘上 的 装饰 色 ； 在 卫生间 的 墙面 上 ， 可以 使用 金色 的 马赛克 搭配 清冷 的 白色 或 不锈钢 。 为了 让 居室 的 环境 更 有 亲和力 ， 不妨 在 角落里 摆放 些 绿色 的 小 盆栽 ， 使 房间 里 充满 情趣 。 7 . 橙色 会 影响 睡眠 质量 橘红色 又 或是 橙色 ， 是 生气勃勃 、 充满活力 的 颜色 ， 是 收获 的 季节 里 特有 的 色彩 。 把 它 用 在 卧室 则 不 容易 使人 安静下来 ， 不利于 睡眠 。 但 将 橙色 用 在 客厅 则 会 营造 欢快 的 气氛 。 同时 ， 橙色 有 诱发 食欲 的 作用 ， 所以 也 是 装点 餐厅 的 理想 色彩 。 将 橙色 和 巧克力 色 或 米黄色 搭配 在 一起 也 很 舒畅 ， 巧妙 的 色彩 组合 是 追求 时尚 的 年轻人 的 大胆 尝试 。 8 . 不要 在 书房 用 黄色 黄色 ， 可爱 而 成熟 ， 文雅 而 自然 ， 使得 这个 色系 正在 趋向 流行 。 水果 黄带 着 温柔 的 特性 ； 牛油 黄 散发 着 原动力 ； 金黄色 带来 温暖 。 黄色 还 对 健康 者 具有 稳定情绪 、 增进 食欲 的 作用 。 但是 长时间 接触 高纯度 黄色 ， 会 让 人 有 一种 慵懒 的 感觉 ， 所以 建议 在 客室 与 餐厅 适量 点缀 一些 就 好 ， 黄色 最 不 适宜 用 在 书房 ， 它会 减慢 思考 的 速度 。 
 家居 	 不规则 屋 不宜 做 卧室 ( 图 ) 不规则 屋 不宜 做 卧室   不规则 的 房间 不可 用做 夫妇 的 主 卧房 ， 否则 会 导致 久婚 不孕 的 后果 。 
 家居 	 与 大户型 大 空间 绑 在 一起 ( 图 ) 豪华 奢侈 装饰 不 一定 就 与 大户型 大 空间 绑 在 一起 ， 98 平米 的 空间 也 能 装出 大气磅礴 的 感觉 ， 只要 敢 想 敢 做 ， 一切 都 有 可能 ， 豪华 奢侈 的 装修 设计 案例 就 在 这里 。 
 家居 	 与 客厅 仅仅 项链   形成 一个 大 的 空间 范围 ( 图 ) 与 客厅 仅仅 项链 ， 形成 一个 大 的 空间 范围 。 为 区别 于 客厅 的 淡雅 ， 餐厅 用 了 鲜艳 的 橙色 ， 一眼 抓住 人 的 视线 ， 由此 能 感觉 到 女主人 肯定 是 位 喜欢 美食 的 MM 。 
 家居 	 与 客厅 相邻 的 餐厅   两区 关系 紧密 ( 图 ) 与 客厅 相邻 的 餐厅 ， 两区 关系 紧密 ， 无 隔阂 的 设计 ， 教 视野 加倍 辽阔 。 而 餐厅 最 醒目 的 焦点 ， 莫过于 将 几何 造型 天花 与 主灯 相结合 的 一体 设计 ， 紧 攫住 众人 目光 。 
 家居 	 与 此 相若   吊顶 所 采用 的 波浪 造型 ( 图 ) 与 此 相若 ， 吊顶 所 采用 的 波浪 造型 ， 也 是 出自 设计师 的 想象 ， 既 可以 掩盖 顶部 的 各种 管道 障碍 ， 又 能 规避 平铺 吊顶 的 呆板 与 削减 空间 高度 后 的 压抑 ， 并且 将 所有 开放式 的 门洞 与 窗楣 都 做成 弧线 形与此 呼应 ， 形成 柔美 的 延续 。 
 家居 	 与 镂花 模板 法 相比   用 印章 更 省时省力 ( 图 ) 图中 镂花 模板 的 使用 ， 产生 了 整洁 而 富有 个性 的 效果 。 您 完全 可以 绘制 出 层次分明 、 色彩艳丽 的 图案 。   与 镂花 模板 法 相比 ， 用 印章 更 省时省力 ， 而且 易于 操作 。 试一下 ， 您 一定 会 大吃一惊 。 图中 这款 海星 图案 是 浴室 墙壁 的 绝佳 装饰 。   
 家居 	 专业 老人家 具   市场前景 十分 可观 近几天 ， 家住 云锦 美地 小区 的 蓝 女士 告诉 记者 ： “ 不久前 为 父母 买 了 套 房子 ， 但 在 为 老人 选购 家具 时 遇到 了 问题 ， 我 跑 了 好几个 卖场 ， 却 没有 一家 设有 老人家 具 专卖 区 。 ” 据 了解 ， 因 多数 专卖店 没有 细分 老人家 具 ， 一些 子女 想 在 琳琅满目 的 家具市场 中 ， 选到 一款 “ 孝心 到位 ” 的 老人家 具 的确 很 伤脑筋 。 没有 专营 老人家 具 店面 在 卡子 门 月 星店 ， 一位 姓 吴 的 消费者 告诉 记者 ， 家里 就 差 老人 卧室 的 家具 没有 购置 了 ， 市场 上 的 家具 要么 太花   哨 、 要么 太 现代 ， 多数 不 适合 老人 。 在 石林 家乐 家 ， 一位 老先生 告诉 记者 ， “ 我 与 老伴 来 转转看 有没有 矮 木凳 或 硬 靠背椅 ， 实在 受不了 家里 那套 软 布艺沙发 ， 人 ‘ 深陷 其中 ’ 不便 挪身 、 起立 吃力 不说 ， 坐久 了 连气 都 喘 不 过来 。 ” 后来 这位 老先生 看中 了 两张 实木 圆凳 。 记者 走访 了 城中 、 河西 多个 家具 大 卖场 ， 没有 找到 一家 专营 老人家 具 的 店铺 ， 不少 营业员 表示 只 知道 有 儿童 家具 ， 压根 不 知道 还有 什么 老人家 具 。 南京 红星 美凯龙 国际 家居 连锁 总经理 郭佑社 说 ， 他们 也 没有 开辟 老人家 具 专区 ， 如果 市场 需求量 较大 ， 将来 可以 考虑 布局 。 老人 需要 什么样 的 家具 老人 每天 在 家里 呆 得 时间 最长 ， 家具 的 实用 、 安全 和 舒适 等 对 他们 来说 显得 格外 重要 。 江苏省 家具行业 协会会长 冯   建华 认为 ， 老人家 具 色彩 要 柔和 温馨 、 沉稳 大方 ， 设计 时要 考虑 平静 、 庄重 ， 避免 强烈 对比 所 产生 的 怪诞 、 新奇 的 效果 。 老人 用 的 家具 应 尽量 为 他们 的 行走 活动 减少 一些 不 安全 因素 ， 譬如 少 一些 棱 棱角 角 ， 以免 碰伤 老人 。 床要 以 硬 床垫 或 硬 床板 加厚 褥子 为 好 ， 弹簧床 等 软床 对 老人 不 合适 。 另外 ， 椅子 背 倾角 和 坐 倾角 都 应 偏大 一些 ， 以 增加 舒适性 ; 并 尽量 设有 扶手 以 方便 起 坐时 抓握 。 此外 ， 不宜 有 低于 双膝 的 抽屉 和 高 过头 的 顶 柜 ， 以 减少 老年人 的 躬身 和 爬高 ， 避免 受伤 。 老人家 具 前景 十分 可观 昨天 ， 中国 家具 协会 副会长 、 新闻 发言人 朱 长岭 接受 记者 采访 时 表示 ， 我国 逐步 进入 了 老龄 社会 ， 老人家 具 的 市场前景 相当可观 。 遗憾 的 是 现在 多数 家具 生产者 ， 只 注重 抓住 年轻 冲动型 消费者 的 心理 和 喜好 ， 却 忽略 了 身边 一个 “ 大 元宝 ” — — 老人 消费 力量 。 朱 长岭 说 ， 有 一点 要 纠正 过来 ， 新一代 中国 老人 不再 是 保守 的 不 懂得 生活 品味 的 ， 他   们 也 喜欢 多姿多彩 的 居家 生活 ， 老人家 具在 实用性 的 基础 上 ， 艺术性 和 观赏性 也 不可 忽视 。 “ 孝 ” 是 中华民族 的 传统美德 ， 为 父母 长辈 尽孝 道 ， 给 他们 选购 套 舒适 的 家具 ， 在 年轻人 中 已 是 一种 新风尚 。 我们 的 家具 企业 可以 创立 以 老人 为 消费 主体 的 家具 品牌 ， 为 老人 量身 定制 家具 ， 这 其中 的 市场 非常广阔 。   
 家居 	 世界 顶级 品牌 钟爱 凤凰 岛   奢华 软装 抢先 看 ( 组图 ) 凤凰 岛 ， 是 以 560 亩 珍稀 海岛 为 蓝本 打造 满足 顶层 人士 心灵 要求 的 精神 原乡 ， 其 精髓 在于 对 稀缺 自然 的 精神 理解 和 对 人生 境界 的 领悟 。 与 市场 上 其他 产品 不同 的 是 ， 凤凰 岛 的 核心 优势 在于 人 、 建筑 和 自然 三者 融合 的 生活 境界 上 ， 超越 了 稀缺资源 本身 的 价值 。 凤凰 岛 不管 是从 设计 ， 还是 从 价格 ， 都 可 算是 奢华 的 化身 。 台湾 顶级 设计师 白庆聪 打造 了 世界 的 软装 神话 ， 独一无二 设计 ， 让 凤凰 岛 成为 海上 的 传奇 ， 乃至 世界 的 传奇 。 她 的 奢华 闪耀 世界 ， 数百家 全球 奢侈 品牌 争相 入驻 凤凰 岛 。 其中 包括 ： Allmilmue 、 Lalique 、 THG / JCD 、 Philips 、 Christofle 、 hansgrohe 、 Authorized   Dealer 、 Toshiba 、 Convergences 、 Barco 、 Swarovski 、 Villeroy & Boch 、 Salviati 、   Otis   、 Riviere 、 SAMSUNG 、 Bernardaud 、 Aran   cucine 、 Siemens 、 Arca 、 Christopher   Guy 、 DK - Home 、 Daktronics … …         从 设计师 白庆聪 了解 到 ， 该 项目 中 居然 没有 同样 一款 家具 、 饰品 ， 实在 是 让 人 难以置信 。 相信 大家 都 想 知道 ， 凤凰 岛 内部 的 到底 有 多 奢华 ， 那 就让 小 编带 大家 抢先 来 欣赏 一下 凤凰 岛 震撼 的 软装 设计 吧 。 
 家居 	 东南亚 田园 家居   自然 飘逸 随风 而 来 ( 组图 ) 以 柳条 、 实木 、 马尼拉麻 、 皮草 等 为 主要 材质 的 东南亚 田园 家居 , 暗香 浮动 ,   它 的 自然 、 飘逸 犹如 花香 随风 而 来 。   
 家居 	 东方 韵味 现代 中式 的 家居 布置 ( 图 ) 营造 浓厚 的 东方 韵味 现代 中式 的 家居 布置 紫色 布艺 软装 在 现代 中式 风格 家居 中 ， 扮演着 十分 重要 的 角色 。 如果 家里 需要 一组 布艺 ， 可以 考虑 多 几种 选择 。 在 色彩 上 尽可能 挑选 东方 的 艳丽 颜色 ， 比如 西亚 的 橙色 、 红色 以及 金色 ， 而 东方 传统 的 花朵 图案 本身 也 具有 十分 艳丽 的 色彩 ， 艳 粉色 、 紫色 、 金色 穿插 使用 ， 营造 出 浓厚 的 东方 韵味 。 其中 也 可以 摆放 少 量子力学 的 条纹布 艺 ， 调和 东方 艳丽 色彩 的 浓稠感 。 
 家居 	 东边 的 紫竹 西边 的 法国梧桐 ( 图 ) 东边 的 紫竹 希望 是 紫气东来 ， 西边 是 法国梧桐 。         这个 建筑 在 北京 ， 所以 大家 理解 是 这样 的 ， 他 喜欢 的 是 欧式 的 建筑 ， 但是 这个 建筑 在 北京 ， 所以 中国 在 这个 里面 的 设计 是 少不了 的 。         就是 欧式 和 中式 的 一个 混合 。 这是 我们 做 的 一个 八角亭 ， 我们 把 苏州园林 的 设计 融入 到 了 里面 。 
 家居 	 丝绸 质地 得到 了 另 一种 诠释 ( 图 ) 当蓝 变得 很 深时 ， 丝绸 质地 得到 了 另 一种 诠释 。 无论是 面料 抑或 色泽 ， 都 是 设计师 们 青睐 的 体现 成熟 的 首选 。 
 家居 	 两间 卧房   空间 以 舒适 实用 为主 ( 图 ) 二楼 ： 二楼 规划 为 两间 卧房 ， 空间 以 舒适 实用 为主 ， 简约 的 门扉 设计 搭配 壁纸 展示柜 ， 让 整个 空间 利落 中带 着 柔软 气息 。 
 家居 	 个性 十足 的 墙纸   营造 出 温馨 的 氛围 ( 图 ) 个性 十足 的 墙纸 ， 营造 出 温馨 的 氛围 。 
 家居 	 中央电视台 总导演 郭霁红 的 藤造 美食 天堂 ( 组图 ) 郭霁红 中央电视台 海外 中心 总导演 ， 连续 五年 成功 执导 了 向 全世界 现场直播 的 央视 中秋 晚会 ， 以及 央视 元旦晚会 ( 2005 年 、 2008 年 、 2009 年 ) ， 以 强烈 的 视觉艺术 感 和 唯美 大气 的 个人风格 ， 开创 了 “ 全息 景观 晚会 ” 的 电视 导演 手法 ， 成为 目前 央视 最具 实力 和 品质 的 导演 之一 ， 多次 荣获 国家级 电视 文艺 奖项 的 一等奖 及 特等奖 。 图为   中央电视台 总导演 郭霁红 的 藤造 美食 天堂 门口 的 藤艺 酒柜 让 我们 对 厨房 充满 了 好奇 与 期待 ， 厨房 的 玻璃门 上 女主人 郭霁红 很 有 主题性 地请 美工 刻画 的 核桃 、 花生 、 辣椒 、 西红柿 等 食材 ， 仿佛 标签 一样 预示 着 这里 就是 美食 的 天堂 。 推开 在 各种 绿植 包围 下 的 木 栅栏门 ， 脚下 就是 蜿蜒 的 小径 ， 窄窄的 ， 周围 生长 着 不同 的 植株 ， 鱼塘 里 的 鱼游 得 正欢 。 7 月 粉色 紫薇 花 、 8 月白色 、 紫色 木槿花 、 10 月 山楂树 挂 着 的 红彤彤 的 圆 山楂 、 还有 那 遍地 姹紫嫣红 的 小 野花 … … 一切 初入 眼帘 的 景致 如 童话故事 般 充满 着 虚幻 的 美感 ， 一直 延续 到 厨房 … … 刻 出来 的 芭蕉叶 墙纸 与 厨房 门口 摆满 的 大 盆花 束 和 常绿植物 ， 热带 风情 扑面而来 。 门口 的 藤艺 酒柜 让 我们 对 厨房 充满 了 好奇 与 期待 ， 厨房 的 玻璃门 上 女主人 郭霁红 很 有 主题性 地请 美工 刻画 的 核桃 、 花生 、 辣椒 、 西红柿 等 食材 ， 仿佛 标签 一样 预示 着 这里 就是 美食 的 天堂 。 由于 她 对于 各种 药膳 的 情有独钟 ， 厨房 在 特制 “ 药膳 台 ” 的 黄金分割 下 形成 两个 功能性 的 区域 — — 操作 区 和 餐厅 ， 在 以 蕨类 图案 墙纸 及藤质 桌椅 的 映衬 下 ， 呈现出 一份 自然 与 淳朴 ， 让 生活 在 繁华 与 喧闹 的 都市人 自然 地 找到 心灵 的 慰藉 。 图为   中央电视台 总导演 郭霁红 的 藤造 美食 天堂 树桩 盐瓶 郭霁红 很 喜欢 在 户外 用餐 或 品茶 ， 与 花花草草 、 各种 绿植 为伴 ， 永远 都 会 找到 一份 安宁 与 舒适 ， 池塘 边 的 一处 户外 用餐 木 桌上 摆放 的 树桩 盐瓶 可以 以假乱真 ， 让 你 以为 它 就是 一块 缩小 版 的 树桩 ， 圆柱形 的 树桩 上 斑驳 的 、 蜿蜒 盘旋 的 粗糙 纹理 惟妙惟肖 ， 依稀 还 可以 见到 年轮 。 是 女主人 无意 中 在 澳大利亚 街边 小店 寻到 的 ， 带 回来 与 自家 环境 极 搭 ， 成为 唯美 风景 中 一道 亮眼 之物 。 
