家居 	 给 人 带来 不 一样 的 视觉效果 ( 图 ) 这种 两边 纤薄 的 沙发 ， 给 人 带来 不 一样 的 视觉效果 ， 配 上 两个 传统 的 鸡尾酒 小桌 ， 增加 了 空间 的 实用 功能性 。 墙面 的 空间 ， 用 一组 别致 的 瓷器 作为 展示 ， 聚集 了 整个 空间 的 焦点 。 
 家居 	 美好 家园   百年 历史 回眸 - 10 年代 ( 图 ) 钢管 椅 已经 随处可见 ， 木质 家具 也 依旧 盛行 。 但 相对 于 世界 大事 ， 人们 尤其 是 女主人 们 ， 更 关心 如何 规划 一套 新 橱柜 ， 做 一种 新 点心 ， 以及 举行 一个 家庭 晚宴 。 谁 都 没有 注意 到 ， 1923 年 第一台 电冰箱 在 瑞典 的 问世 ， 它 将 彻底 地 颠覆 了 传统 的 厨房 、 食物 的 价值 和 人们 的 胃口 。 随后 的 1924 年 ， 当 立体主义 、 风格 派 艺术 运动 如火如荼 时 ， 美国市场 上 出现 的 伯 赛先生 “ 速冻 豌豆 ” 则 加速 了 这种 颠覆 ， 食物 也 开始 变得 抽象 起来 了 。 1920 - 1929 产生 的 设计 流派 International   Style   ( 1920 - 1980 )   和 ArtDeco   ( 1920 - 1939 ) 在 很长 一段时间 里 影响 了 人们 的 生活 。 尽管 前者 因为 与 法西斯 靠近 而 很快 夭折 ， 但 其 辽阔 的 想像力 却 超前 地为 我们 构建 了 现代 生活 的 底稿 。 
 家居 	 美好 家园   百年 历史 回眸 - 1900 年 ( 图 ) 沙发 的 色泽 明亮 优美 ， 碎花 图案 映衬 着 玻璃 花瓶 里 的 鲜花 ， 精致 的 茶几 描着 华丽 的 装饰性 花纹 和 彩绘 图案 ， 女主人 身着 典雅 的 家居服 ， 用 伍斯特 皇家 茶具 来 招待 客人 ? ? 爱德华 风格 预示 着 家居 装潢 趋向于 一种 更 明快 的 作风 — 这是 100 年前 典型 的 欧美 中产阶级 家庭 的 场景 。 而 在 接下来 的 100 年里 ， 精致 的 手工 制品 逐渐 被 现代 设计所 取代 ， 人们 的 生活 ， 随着 步伐 的 加快 ， 也 逐渐 开始 化繁为简 — 曾经 辉煌 一时 的 维多利亚 式 繁华 的 花样 ， 被 富有 社会 责任感 的 先锋 设计者 与 制造商 视为 代表 贪婪 、 颓废 和 沉闷 的 矫饰 ， 实用 、 简洁 、 标准化 制作 为 日常生活 注入 了 活力 。 
 家居 	 美好 家园   百年 历史 回眸 - 30 年代 ( 图 ) 的 家务劳动 变得 更为 轻松愉快 。 
 家居 	 美好 家园   百年 历史 回眸 - 40 年代 ( 图 ) 院 、 洗衣房 ? ? 院 、 洗衣房 ? ? 
 家居 	 美好 家园   百年 历史 回眸 - 50 年代 ( 图 ) 得 解放 ， 从此 在 物美价廉 、 随用 随弃 一途 上 突飞猛进 。 
 家居 	 美好 家园   百年 历史 回眸 - 90 年代 ( 图 ) 成为 中国 大城市 的 最 爱 。 
 家居 	 美妙 人生   都市田园 风格 复式 公寓 ( 组图 ) 梦想 有 间 田园 式 的 家 ， 回到 家 就 可以 脱离 一切 烦嚣 ， 在 城市 的 忙碌 生活 下 为 自己 寻找 一个 安静 歇息 的 地方 ， 为 疲劳 的 自己 充 充电 。 
 家居 	 美妙 的 烹饪 过程 ( 图 ) 法国 顶级 厨具 ， 让 烹饪 过程 成为 美妙 的 生活 乐章 。 
 家居 	 美式 乡村 风格 为主 的 设计 ( 图 ) 浓厚 的 中式 意味 在 以 美式 乡村 风格 为主 的 设计 中 并 不 突兀 ， 反而 有 一种 新鲜感 。 
 家居 	 美式 混搭风   奢华 的 现代 演绎 ( 图 ) Part3   美式 混搭风   奢华 的 现代 演绎 美式 风格 都 追求 奢华 的 感觉 ， 将客 、 餐厅 用 非常 具 现代感 的 黑白 金三色 ， 搭配 时尚 黑色 水晶 吊灯 、 以及 黑白 对比 反差 强烈 的 餐桌椅 ， 吧台 用 黑色 金色 来 突显 其 高贵 的 品质 ， 呈现 美式 居家 与 现代 时尚 的 混 搭风 。 黑白 金三色 对比 的 色彩 ， 在 比例 的 拿捏 与 色块 搭配 必须 恰到好处 ， 让 整体 空间 色彩 表现 更显 优雅 。 用 温暖 乡 美式 风 环绕 的 主人 房 ， 设计 用 色彩 轻柔 的 花绘 图案 壁纸 搭配 黑白 床组 呈现 美式 风 ， 邻窗 设计 的 书桌 下方 设计 了 间接 灯 ， 平常 甚至 可以 当作 阳台 的 夜间 照明 。   
 家居 	 美式 田园 家居饰品 ( 图 ) 家居 布置 少不了 饰品 ， 几件 好 的 饰品 能 丰富 家居设计 的 层次感 ， 当然 ， 饰品 的 选择 要 配合 家居 的 整体 设计 风格 。 今天 小编 为 你 推荐 几款 精美 的 美式 田园 家居饰品 ， 来 为 你 的 美式 田园 家 增色 几分 ！   
 家居 	 美观 时髦 的 沙发 ( 图 ) 客厅 里 最 重要 的 是 什么 ， 沙发 应该 算是 一个 。 有着 不同 的 沙发 ， 就 会 有着 不同 的 客厅 风格 。 明亮 的 ， 灰暗 的 ， 简洁 的 ， 复古 的 ， 不尽相同 ， 却 又 同样 温馨 大方 ， 美观 时髦 。 那么 下面 就 送 上 8 款 不同 的 沙发 和 客厅 的 组合 ， 看看 你 究竟 会爱上 哪种 风格 吧 ？ ！   
 家居 	 美 餐具 上 的 别致 绘画 ( 图 ) 美 餐具 上 的 别致 绘画 餐桌 是 一家人 分享 美食 、 享受 温馨 气氛 的 地方 ， 如果 餐桌上 缺少 令人 动心 的 餐具 ， 家人 的 团聚 时刻 也许 会 稍 有 缺憾 。 享受 高品质 的 生活 ， 需要 为 所有 细节 做 精心 的 设计 。 如果 被 本期 杂志 当月 · Feeling 栏目 《 樱花季 ， 人文 设计 小 意趣 》 的 东方 美感 小物 所 打动 ， 不妨 尝试 在 纯白 的 瓷器 上 描绘 同样 别致 的 花朵 ， 获得 同样 别致 的 餐具 
 家居 	 羽西 家 是 我 的 城堡 ( 图 ) 进门处 的 玄关 台 是 金色 的 ， 看上去 很 华丽 ， 工作人员 说 面板 是 用 镜框 边 粘结 起来 的 ， 是 羽西 的 设计 ， 真让人 意想不到 。 台上 是 一尊 佛像 ， 旁边 两个 金色 的 小 香炉 。 不过 香炉 里 并 没有 燃香 的 痕迹 ， 里面 放 的 是 钥匙 。 
 家居 	 羽西 的 忙碌 ( 图 ) 羽西 还 没 回来 ， 我们 早到 了 一个 小时 。 每个 房门 都 是 敞开 的 ， 我们 有 时间 听 一 听 静默 的 房间 是不是 在 说些 什么 。 
 家居 	 羽西 的 舞台 与 后台 ( 组图 ) 每 一个 家 都 有 一种 特殊 的 味道 ， 那 是 房屋 主人 居住 久 了 ， 沁浸 濡染 出来 的 味道 ， 神怪 小说 里 ， 小鬼 儿们 经常 会 抽 抽鼻子 ， 说 有 “ 生 人气 ” ， 说 的 大概 就是 这种 味道 。 靳羽西 的 家里 ， 也 有 一种 特殊 的 味道 。 有点 甜 ， 有点 滑腻 ， 混合 了 化妆品 、 花香 和 女人 的 体息 。 
 家居 	 老师 最 爱 家居   摩登 时尚 的 家居装饰 ( 图 ) 现代 时尚 风格 的 家居 装修 是 新 一辈 老师 的 最 爱 ， 精致 时尚 的 家具 、 开阔 的 厨房 、 房子 虽小 创意 无边 ， 流行 的 就是 最爱 的 。 30 - 40 岁 的 老师 已经 成家立业 ， 对于 家居 装修 考虑 最多 的 就是 经济实用 ， 用 最少 的 钱 装出 最 舒适 、 美观 的 家 。 对于 老一辈 的 教师 ， 沉稳 大气 的 中式 风格 家 是 这部分 老师 的 最 爱 ， 一方面 满足 了 怀旧 情结 ， 另一方面 中式 家居 更 适合 休闲 。 那 还 不快 来 欣赏 一下 下面 这组 装修 案例 ！ 老师 的 最 爱 ~ ~ ~ ~   
 家居 	 老房子 中 上演 的 LOFT 戏法 ( 组图 ) 30 年代 的 风情 ， 地中海 的 明亮 ， 再 加上 当代艺术 的 斑斓 ， 一栋 上海 老洋房 融合 了 时代 变迁 留下 的 痕迹 ， 在 杂糅 之间 ， 老房子 的 今生 在 宋安 真的 手上 开出 了 新 的 花 。 宋安 真的 家 在 上海市 中心 一条 幽静 的 小路 皋兰 路上 ， 这 条 小路 全长 不过 300 米 ， 但 却 非常 的 著名 。 著名 在 这条 路上 既有 张学良 的 故居 ， 又 有 建于 1934 年 的 东正教 圣尼古拉斯 教堂 ， 是 一条 充满 了 历史 和 故事 的 美丽 小路 。 宋安真家 就 在 这 条路 的 一栋 老洋房 里 ， 在 去 采访 之前 ， 已经 让 我 产生 了 探寻 的 期望 ， 期望 发现 什么 新 的 故事 。 
 家居 	 老 的 物件   用 它 来 连接 白色 的 浴室 ( 图 ) 在 这样 的 一个 卧室 里 ， 不光 可以 看到 老 的 柜子 ， 老 的 藤椅 ， 你 还 可以 注意 一下 卧室 的 门 ， 它 上面 几排 门钉 的 存在 告诉 我们 ， 这 也 是 一个 老 的 物件 ， 用 它 来 连接 白色 的 浴室 ， 确实 是 个 有 情趣 的 事情 。 
 家居 	 老 箱子 不 一定 可以 利用 在 床头 ( 图 ) 当然 ， 这样 的 老 箱子 不 一定 可以 利用 在 床头 ， 它 如果 够 宽大 ， 其实 可以 安置 在 床尾 ， 成为 你 睡眠 后 摆放 衣物 的 地方 。 
 家居 	 老萨 购置 的 另 一栋 豪宅 在 戛纳 附近 ( 图 ) 老萨 购置 的 另 一栋 豪宅 位于 戛纳 附近 的 法国 “ 香水 之 城 ” 格拉斯 一座 山上 ， 价值 400 万英镑 ( 约合 705 万美元 ) 
 家居 	 考虑 下 自己 的 情绪 ( 图 ) 2 、 考虑 下 自己 的 情绪 当 选择 一种 颜色 的 时候 ， 可以 考虑 和 情绪 结合 起来 。 如果 一间 卧室 ， 你 想要 的 是 温馨 和 宁静 的 感觉 。 这样 就 决定 了 你 会 选择 一些 柔和 清爽 的 颜色 ， 而 不是 用 十分 强烈 的 色彩 。 
 家居 	 考虑 室内 光线 的 照射 度 ( 图 ) 4 . 墙面 瓷砖 的 选择 应 考虑 室内 光线 的 照射 度 ， 太亮 与 太暗 的 空间 应 采用 哑光且 色彩 淡雅 的 瓷砖 ， 避免 造成 光污染 ， 形成 视觉 疲劳 。 
 家居 	 聪明 的 开始 ( 图 ) 聪明 的 开始 为了 迎合 这里 宁静 的 色彩 和 自然 的 韵味 ， 可爱 的 婴儿 小床 是 整个 房间 的 起点 。 中世纪 的 风格 也许 有点 中性化 ， 但是 当 孩子 长大 点后 ， 却 可以 更 轻松 的 改造 它 ( 如果 小宝贝 是 个 男孩 的话 ， 等 它 大 点儿 也许 就 不 适合 这种 太过 温柔 的 色调 了 ) 
 家居 	 背景墙 把 这里 进行 了 开放式 分隔 ( 图 ) 使用 面积 40 多 平米 不到 50 平 ， 建筑面积 是 68 平 。 客厅 是 20 平米 ， 榻榻米 是 7.5 平米 ， 卧室 算上 步入 式 衣柜 的 面积 的话 是 13.5 平米 。 欢迎 大家 来 参观 小美女 的 小小 美窝 ~   
 家居 	 胡军   万泉 新 新家园 ( 图 ) 胡军 ： 万泉 新 新家园 图为   胡军 
 家居 	 胡晓 解释 着 她 的 居住 理念 ( 图 ) 风格 就是 喜欢 和 需要 “ 即便 是 能够 自由 驾驭 多种 家装 设计 风格 的 室内 设计师 ， 也 必定 有 个人 较为 偏好 的 固定 风格 。 只 专心 于 自己 喜欢 的 ， 也 该 被 称为 一种 风格 吧 ？ ” 胡晓 解释 着 她 的 居住 理念 — — 简洁 而富 细节 是 她 努力 贯彻 的 原则 ， 除了 对 现代主义 的 偏好 之外 ， 也 是 受 客观条件 的 制约 ， 不得已而为之 。 大 的 框架 定 下来 ， 便 开始 为 房子 填空 ， 一点点 完善 家居 蓝图 。 “ 对于 家 的 建设 要 在 对 细节 的 不断 调整 中 继续 ， ” 胡晓说 ， 家居 是 不断 改造 的 过程 ， 这个 过程 伴随 着 主人 的 居家 体验 ， 似乎 永远 也 不会 结束 。 卫生间 弧线 形外 墙上 的 纹样 是 用 镜面 马赛克 拼贴 而成 的 。 这个 设计 从 选材 、 小稿 、 放样 到 施工 都 经过 反复推敲 ， 几次 重新 返工 后 才 使得 所有 的 马赛克 一片 不 落地 用到 了 墙面 上 。 内墙 直接 用 水泥 材质 做底 ， 加上 地坪 漆 做 防水 处理 。 当地 坪 漆 的 漆膜 覆盖 并 渗入 墙体 ， 墙体 颜色 便会 深浅 有 致 ， 层次分明 ， 裂痕 便 呈现出 极其 自然 的 装饰 效果 。 再配 以 白色 的 洁具 ， 原木色 的 浴室 地板 — — 原始 而 不 粗糙 ， 正是 胡晓 梦寐以求 的 。   
 家居 	 能 清楚 分类 的 调味瓶 ( 图 ) 虽然 古有 “ 君子 远 庖厨 ” ， 但是 在 这个 男女 共同 打天下 的 时势使然 下 ， 越来越 多 的 男人 开始 走进 厨房 ， 而 腰系 围裙 的 男人 也 越来越 讨 女人 喜欢 。 女人 悄然 退出 厨房 重地 ， 没有 一丝 留恋 ， 甜蜜 地 享受 着 心爱 的 男人 在 厨房 里 辛勤 的 劳作 。 男人 一旦 走进 厨房 ， 便会 完全 把 这里 变成 一间 艺术 作坊 ， 不仅 能 烹调 出 各种 好 滋味 ， 更是 让 厨房 展现出 了 另 一种 风情 。 虽然 古有 “ 君子 远 庖厨 ” ， 但是 在 这个 男女 共同 打天下 的 时势使然 下 ， 越来越 多 的 男人 开始 走进 厨房 ， 而 腰系 围裙 的 男人 也 越来越 讨 女人 喜欢 。 女人 悄然 退出 厨房 重地 ， 没有 一丝 留恋 ， 甜蜜 地 享受 着 心爱 的 男人 在 厨房 里 辛勤 的 劳作 。 男人 一旦 走进 厨房 ， 便会 完全 把 这里 变成 一间 艺术 作坊 ， 不仅 能 烹调 出 各种 好 滋味 ， 更是 让 厨房 展现出 了 另 一种 风情 。 
 家居 	 脚感 柔软 的 卫浴 专用 地垫 ( 图 ) 蓝绿 地 垫脚 感 柔软 的 卫浴 专用 地垫 ， 底面 的 防滑 处理 能 保障 人 不会 不 滑倒 ， 彩色 条纹 图案 还 可为 卫浴间 增色 。 蓝绿 的 条纹 相间 让 卫浴间 立刻 清凉 起来 。 
 家居 	 腰系 围裙 的 男人 ( 图 ) 虽然 古有 “ 君子 远 庖厨 ” ， 但是 在 这个 男女 共同 打天下 的 时势使然 下 ， 越来越 多 的 男人 开始 走进 厨房 ， 而 腰系 围裙 的 男人 也 越来越 讨 女人 喜欢 。 女人 悄然 退出 厨房 重地 ， 没有 一丝 留恋 ， 甜蜜 地 享受 着 心爱 的 男人 在 厨房 里 辛勤 的 劳作 。 男人 一旦 走进 厨房 ， 便会 完全 把 这里 变成 一间 艺术 作坊 ， 不仅 能 烹调 出 各种 好 滋味 ， 更是 让 厨房 展现出 了 另 一种 风情 。   
 家居 	 自动 的 规规矩矩 的 排列 好 ( 图 ) “ S ” 型 挂钩 ， 令 各种 烹饪 出具 都 自动 的 规规矩矩 的 排列 好 ， 一目了然 。 
 家居 	 自在 是 我 古老 又 现代 的 家 ( 组图 ) 这是 一所 建于 20 世纪 的 老房子 ， 由于 家庭 的 不断 壮大 ， 主人 对 它 进行 了 改造 。 现在 ， 房子 正面 仍旧 是 传统 的 白砖 装饰 ， 而 从 后花园 看去 则 是 粗制 混凝土 的 外立面 ， 中间 夹杂 着实 木条 装饰 ， 古老 和 现代 集合 得 十分 自然 。 旧居 难舍 家 的 主人 是 比利时 家居 品牌 Marie ’ s   Corner 设计师 玛丽 - 莉蒂希娅 ， 一家人 已经 在 这里 住 了 很 久 ， 孩子 渐渐 长大 ， 房间 显得 有些 紧张 ， 小家伙 们 都 要 有 自己 的 独立 空间 ， 于是 搬家 成为 热议 的 一个 话题 。 同样 做 设计 的 丈夫 喜欢 LOFT 形式 的 房子 ， 玛丽 却 认为 敞开式 的 空间 住 起来 并 不 实用 ， 快要 进入 青春期 的 孩子 们 需要 自己 的 私密 空间 。 生活 了 多年 的 街区 实在 难舍难分 ， 而且 自己 的 品牌 店 以及 丈夫 主要 打理 的 地毯 店 也 需要 照顾 ， 大规模 的 搬动 看来 不太 可行 ， 既然 没有 更好 的 选择 ， 那么 还是 留下来 吧 。 
 家居 	 自己 有 敏感 的 时尚 嗅觉 ( 图 ) 如果 你 认为 自己 有 敏感 的 时尚 嗅觉 ; 如果 你 认为 自己 有 相当 的 时尚 承受力 ; 那么 你 是否 能 狠下心来 将 这些 色彩艳丽 的 家具 从 家具 商场 上 买回来 呢 ? 可别 为 找 不好 到 的 地方 而 搭配 哦 ! 这些 超 潮流 又 张现 时尚 标志 的 家具 可不是 普通人 能够 驾驭 到 的 哦 ! 
 家居 	 自 建 欧式 情调 花园 的 三个 步骤 ( 组图 ) 这是 一座 联结 前 花园 和 后院 的 甲板 式 露台 ； 这里 很 适合 喝茶 ， 因为 主人 将 此地 布置 成 盆栽 香草 乐园 。 
 家居 	 自然 亲近 的 机会 变得 越来越少 ( 图 ) 随着 生活节奏 的 加快 ， 我们 与 自然 亲近 的 机会 变得 越来越少 ， 如何 找回 失落 的 那份 闲情 与 逸致 ？ 我 想 ， 在 忙碌 工作 过后 置身于 由 原木 材质 、 淡雅 色彩 营造 的 宁静 环境 中 ， 用 慵懒 的 心情 渡过 珍贵 的 休闲 时光 ， 就是 你 我 所 需要 的 。 这 几个 家居 案例 就是 其中 杰出代表 ， 为 你 的 心添 上 一抹 淡淡 绿意 。 
 家居 	 自然 光影 来 表达 室内 生命力 ( 图 ) 白色 是 最 简单 、 最 单纯 的 颜色 ， 它 吸纳 一切 、 包容 一切 ， 它 简单 到 极致 ， 也 丰富 到 极致 ， 它 最能 被 光影 色彩 赋予 及 为 丰富 的 变化 ， 这样 美妙 的 空间 组合 ， 让 居住 在 这里 的 人 沉静 在 如梦如幻 的 世界 中 。   
 家居 	 自然 原味 的 亲 和 感触 ( 图 ) 自然 原味 的 亲 和 感触   主人 还 没 回来 ， 阿姨 很 有 礼貌 地迎 我们 进屋 ， 免去 了 和 主人 的 寒暄 ， 随意 在 一楼 走动 ， 通透 明亮 的 起居室 和 餐厅 便 立马 尽收眼底 。 干净 的 白色 墙面 配以 深褐色 的 木条 门框 和 悬梁 ， 透着 古朴 的 乡村 气息 。 原木 做成 的 家具 一律 以 直白 的 线条 勾勒 ， 有 的 被 刷成 了 淡绿色 ， 有 的 干脆 直接 保持 着 原色 ， 彰显 着 树木 的 纹路 和 肌理 。 巨大 的 黑色 餐桌 仔细 一看 竟然 是 一块 不修边幅 的 门板 ， 原始 的 凹凸不平 经过 岁月 的 打磨 反而 更显 质感 。 而 餐厅 吊灯 那 复古 华美 的 曲线 则 为 整个 粗犷 空间 添加 了 一些 精致 。 突然 想起 林语堂 老先生 曾经 这样 评价 过 美国 人 对于 家具 的 态度 “ 我 钦佩 美国 人 对于 老式 家具 和 旧式 地毯 的 钟爱 ， 却 对于 他们 家里 用 铬 金属家具 代替 木制品 很觉 惋惜 ， 铬 金属家具 对于 家庭 使用 来说 太 过冷 硬 。 ”   起居室 里 ， 一轮 故意 做 旧 的 枣色 皮质 沙发 围出 了 视听 区域 ， 电视机 背后 鲜艳 的 大 色块 装饰画 、 小巧 剔透 的 水晶 墙面 立灯 和 印花 编织 地毯 交相辉映 ， 循序渐进 地 丰富 着 色彩 。 皮沙发 的 背后 是 客厅 的 另一侧 ， 废弃 的 壁炉 被 主人 精心 打 造成 一件 装置 艺术 ， 底部 由 马赛克 铺 出 一个 小小的 池塘 ， 篝火 处 安置 着 一件 形似 火焰 的 琉璃 雕塑 ， 通透 斑斓 的 色彩 倒 印 在 池塘 水中 呈现出 水火 交融 的 意境 ， 可 算是 客厅 里 最高 调 的 装饰 了 。 两个 单人 沙发 围 在 壁炉 前 ， 中间 放着 同 系列 的 皮质 茶几 ， 由 一个 竹签 编制成 灯罩 的 小 台灯 点缀 。 从 背后 望去 ， 这样 的 组合 像 极了 老电影 中 的 道具 ， 仿佛 时光 交错 ， 浮现 出 泛黄 的 景象 ： 一家人 围坐在 篝火 前翻 着 老 相册 念 着 老 故事 ， 咖啡 香飘 ， 温情 满溢 。   
 家居 	 自然 古朴 的 外形 与 质感 ( 图 ) 很多 人 在 选择 园艺 小品 和 组合 盆栽 时 往往 受限于 家庭 空间 的 狭小 ， 今年 市场 上 出现 了 室内 家居 和 户外 庭院 皆宜 的 “ 可 拆分 式 组合 造景 ” ， 让 消费者 可以 根据 居室 的 实际 情况 和 个性化 喜好 进行 组合 。 推出 该 产品 的 福州 一家 园艺 公司 负责人 介绍 说 ： “ 普通 消费者 在 植物 装饰 方面 的 知识 还 比较 欠缺 ， 在 购买 组合 盆栽 装饰 时 往往 不知 如何 入手 。 于是 我们 以此 为 出发点 ， 打造 了 多种 样板 式 盆器 和 工艺品 ， 顾客 可以 随意 地 进行 DIY 组合 。 这种 组合 对 空间 没有 太 多 限制 ， 既 可以 选择 阳台 的 一个 小 角落 ， 也 可以 在 宽敞 的 私家花园 畅快 地 组合 。 同时 我们 推出 一些 具有 各国 情调 的 雕塑 和 具有 情景 元素 的 园艺 小品 来 提升 组合 造景 的 艺术 价值 。 ” 据介绍 ， 该 公司 在 植物 造景 布置 中 ， 更 注重 凸显 植物 材料 以外 的 艺术 元素 ， 一改 以往 略为 死板 的 盆器 与 植物 简单 堆砌 的 设计 理念 ， 而 将 更 多 文化 符号 融入 其中 。 比如 运用 非洲 木雕 与 自然 趣味 盆器 搭配 ， 摆放 在 忙碌 、 硬质 材料 较 多 的 办公 场所 ， 能 营造 出 浓郁 的 文化氛围 ， 缓解 办公 压力 ； 而 高贵典雅 的 欧式 风格 现代 花器 ， 摆放 在 大堂 或 客厅 ， 则 给 人 一种 大 空间 明亮 通透 的 畅快 感 。 另外 ， 组合 植物 造景 也 使 家居 植物 装饰 变得 更加 轻松 、 便捷 。 一般 居室 花园 造景 工程 从 组建 、 水电 、 木工 等 方面 要 进行 大量 人力 和 时间 的 投入 ， 而 新 模式 组合 造景 从 设计 施工 到 完成 仅 需要 两三天 的 时间 ， 就 可以 营造 出 具有 同样 艺术 效果 的 家居装饰 。 
